DOI;first_author;year;species;life_stage;exposure_route;exposure_media;media_ph;media_temp_mean;media_temp_min;media_temp_max;exposure_duration_days;exposure_duration_effectsize_days;recovery_duration;nominal_dose_mass;nominal_dose_mass_units;nominal_dose_particles;nominal_dose_particles_units;nominal_dose_altern_category;nominal_dose_altern_type;nominal_dose_altern_type_units;measured_dose_mass;measured_dose_mass_units;measured_dose_particles;measured_dose_particles_units;measured_dose_altern_category;measured_dose_altern_type;measured_dose_altern_type_units;chem_contamination_screened_y_n;particle_cleaning_y_n;solvent_rinse;background_cont_check_y_n;uptake_validated_y_n;uptake_validation_method;organisms_fed_y_n;food_dose;food_dose_unit;food_type;experiment_comment;endpoint;c_n_replicates;c_ind_per_replicate;c_n_individuals;c_mean;c_SD;c_SE;c_unit;t_n_replicates;t_ind_per_replicate;t_n_individuals;t_mean;t_SD;t_SE;t_unit;data_comment;manufacturer;polymer_type;shape;size_length_mm_nominal_mean;size_length_mm_nominal_SD;size_length_mm_nominal_min;size_length_mm_nominal_max;size_length_mm_measured_mean;size_length_mm_measured_SD;size_length_mm_measured_min;size_length_mm_measured_max;size_width_mm_nominal_mean;size_width_mm_nominal_SD;size_width_mm_nominal_min;size_width_mm_nominal_max;size_width_mm_measured_mean;size_width_mm_measured_SD;size_width_mm_measured_min;size_width_mm_measured_max;size_height_mm_nominal_mean;size_height_mm_nominal_SD;size_height_mm_nominal_min;size_height_mm_nominal_max;size_height_mm_measured_mean;size_height_mm_measured_SD;size_height_mm_measured_min;size_height_mm_measured_max;UV_weathered_y_n;UV_intensity;UV_intensity_unit;UV_weathered_duration;weathered_biofouled_y_n;weathered_biofouled_duration;chemically_weathered_y_n;chemically_wheathered_chemical;chemically_weathered_duration;particle_comment
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Reactive Oxygen Species Production;3;1;3;1073.025335;35.76751118;20.65038221;fluorescence/mg_protein;3;1;3;1478.390462;0;0;fluorescence/mg_protein;metaDigitise fig. 1;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Reactive Oxygen Species Production;3;1;3;1514.157973;0;0;fluorescence/mg_protein;3;1;3;1883.755589;41.72876304;24.09211257;fluorescence/mg_protein;metaDigitise fig. 1;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Reactive Oxygen Species Production;3;1;3;1490.312966;29.80625931;17.20865184;fluorescence/mg_protein;3;1;3;1824.14307;11.92250373;6.883460735;fluorescence/mg_protein;metaDigitise fig. 1;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Reactive Oxygen Species Production;3;1;3;1806.259314;23.84500745;13.76692147;fluorescence/mg_protein;3;1;3;2301.043219;35.76751118;20.65038221;fluorescence/mg_protein;metaDigitise fig. 1;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Superoxide Dismutase Activity;3;1;3;3.87;0.07;0.040414519;U/mg_protein;3;1;3;3.72;0.01;0.005773503;U/mg_protein;metaDigitise fig. 2a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Superoxide Dismutase Activity;3;1;3;4.73;0.01;0.005773503;U/mg_protein;3;1;3;3.96;0.05;0.028867513;U/mg_protein;metaDigitise fig. 2a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;21;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Superoxide Dismutase Activity;3;1;3;3.83;0.01;0.005773503;U/mg_protein;3;1;3;3.69;0.01;0.005773503;U/mg_protein;metaDigitise fig. 2a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;28;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Superoxide Dismutase Activity;3;1;3;5.04;0.03;0.017320508;U/mg_protein;3;1;3;4.85;0.01;0.005773503;U/mg_protein;metaDigitise fig. 2a;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;7;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase Activity;3;1;3;3.039215686;0.08496732;0.049055905;U/mg_protein;3;1;3;1.901960784;0.098039216;0.056602968;U/mg_protein;metaDigitise fig. 2b;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
10.1016/j.envpol.2023.121285;Baihetiyaer;2023;Eisenia fetida;adult;sediment;OECD soil;NA;20;19;21;28;14;0;NA;NA;NA;NA;weight percent;1;% w w-1;NA;NA;NA;NA;NA;NA;NA;no;no;no;no;no;no;no;NA;NA;NA;soil: 10% peat moss, 20% kaolinite and 70% quartz sand;Catalase Activity;3;1;3;3.444444444;0.039215686;0.022641187;U/mg_protein;3;1;3;2.54248366;0.065359477;0.037735312;U/mg_protein;metaDigitise fig. 2b;NatureWorks (Plymouth, USA);PLA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;no;NA;NA;NA;no;NA;no;NA;NA;"Only ""particles (150 µm)"" was reported"
