Author Full Names;DOI;Recods excluded based on title and abstract screening;Why not included in analysis?
"Alesci, Alessio; Di Paola, Davide; Fumia, Angelo; Marino, Sebastian; D'Iglio, Claudio; Famulari, Sergio; Albano, Marco; Spano, Nunziacarla; Lauriano, Eugenia Rita";10.3390/toxics11090731;Yes;No terrestrial annelids were used
"Baihetiyaer, Baikerouzi; Jiang, Nan; Li, Xianxu; He, Bo; Wang, Jun; Fan, Xiaoteng; Sun, Huimin; Yin, Xianqiang";10.1016/j.envpol.2023.121285;;
"Baihetiyaer, Baikerouzi; Jiang, Nan; Li, Xianxu; Song, Jie; Wang, Jun; Fan, Xiaoteng; Zuo, Yajie; Yin, Xianqiang";10.1016/j.envpol.2023.122547;Yes;No ROS marker was measured
"Bandeira, Felipe Ogliari; Lodi, Mikael Renan; Graciani, Thalia Smaniotto; Oroski, Sabrina; Mattias, Jorge Luis; Bran Nogueira Cardoso, Elke Jurandy; Lopes Alves, Paulo Roger";10.1007/s11356-022-23584-7;Yes;No terrestrial annelids were used
"Chandran, Naveen Njattuvetty; Fojtova, Dana; Blahova, Lucie; Rozmankova, Eliska; Blaha, Ludek";10.1016/j.chemosphere.2018.06.102;Yes;No terrestrial annelids were used
"Chowdhary, A. B.; Singh, J.; Quadar, J.; Singh, S.; Dutta, R.; Angmo, D.; Vig, A. P.";10.1016/j.pestbp.2023.105639;;
"Chowdhary, Anu Bala; Dutta, Rahil; Singh, Jaswinder; Tikoria, Raman; Quadar, Jahangeer; Angmo, Deachen; Singh, Atamjit; Singh, Sharanpreet; Vig, Adarsh Pal";10.1007/s13762-022-04092-0;;
"de Araujo, Gabriel Farias; Santo, Danielli Gundes do Espirito; Sales Junior, Sidney Fernandes; Correia, Fabio Verissimo; Saggioro, Enrico Mendes";10.1016/j.scitotenv.2023.167271;;
"Deng, Yao; Wang, Ran; Song, Bangyan; Yang, Ya; Hu, Deyu; Xiao, Xin; Chen, Xiaohua; Lu, Ping";10.1016/j.scitotenv.2022.153007;Yes;No terrestrial annelids were used
"Elango, Duraisamy; Kayalvizhi, Nagarajan; Jayanthi, Palaniyappan";10.1007/s00128-023-03731-7;;
"Fajana, Hamzat O.; Gainer, Amy; Jegede, Olukayode O.; Awuah, Kobby F.; Princz, Juliska I.; Owojori, Olugbenga J.; Siciliano, Steven D.";10.1002/etc.4574;Yes;No terrestrial annelids were used
